0	947	53	0
1	876	123	1
2	724	275	1
3	490	507	3
4	246	746	8
5	121	869	10
6	63	922	15
7	58	926	16
8	60	923	17
9	61	914	25
10	54	918	28
11	70	899	31
12	69	891	40
13	57	899	44
14	51	900	49
15	51	895	54
16	62	877	61
17	64	870	66
18	65	862	73
19	54	870	76
20	63	853	84
21	60	849	91
22	61	839	100
23	56	839	105
24	56	830	114
25	59	823	118
26	53	825	122
27	64	811	125
28	71	802	127
29	54	815	131
30	65	801	134
31	52	808	140
32	57	798	145
33	62	789	149
34	61	785	154
35	68	772	160
36	56	779	165
37	50	779	171
38	70	756	174
39	61	758	181
40	56	758	186
41	57	750	193
42	66	738	196
43	69	733	198
44	54	740	206
45	58	733	209
46	60	727	213
47	57	724	219
48	69	706	225
49	67	703	230
50	65	702	233
51	64	696	240
52	58	697	245
53	51	701	248
54	62	683	255
55	71	670	259
56	74	663	263
57	71	663	266
58	64	667	269
59	59	668	273
60	65	658	277
61	66	653	281
62	61	655	284
63	58	652	290
64	66	642	292
65	51	653	296
66	57	642	301
67	65	633	302
68	78	614	308
69	73	615	312
70	70	613	317
71	53	625	322
72	49	622	329
73	46	617	337
74	66	594	340
75	66	592	342
76	56	598	346
77	55	595	350
78	49	594	357
79	37	603	360
80	43	595	362
81	65	567	368
82	60	568	372
83	57	569	374
84	51	570	379
85	61	552	387
86	71	541	388
87	55	555	390
88	69	541	390
89	69	537	394
90	71	531	398
91	56	543	401
92	66	528	406
93	58	534	408
94	56	533	411
95	63	523	414
96	76	507	417
97	52	526	422
98	57	520	423
99	74	501	425
100	58	514	428
101	57	515	428
102	62	506	432
103	68	497	435
104	58	505	437
105	56	500	444
106	64	489	447
107	63	486	451
108	72	474	454
109	63	480	457
110	56	484	460
111	59	475	466
112	59	472	469
113	51	478	471
114	48	477	475
115	56	465	479
116	58	458	484
117	58	453	489
118	61	448	491
119	46	462	492
120	57	448	495
121	59	441	500
122	73	425	502
123	58	439	503
124	52	443	505
125	55	439	506
126	55	439	506
127	58	431	511
128	66	419	515
129	72	410	518
130	71	409	520
131	73	403	524
132	72	402	526
133	70	403	527
134	65	406	529
135	72	394	534
136	65	397	538
137	53	406	541
138	49	407	544
139	59	393	548
140	59	390	551
141	55	391	554
142	59	385	556
143	54	386	560
144	62	377	561
145	61	375	564
146	60	372	568
147	47	380	573
148	51	373	576
149	61	360	579
150	66	351	583
151	52	364	584
152	62	353	585
153	50	363	587
154	67	343	590
155	68	340	592
156	59	347	594
157	67	335	598
158	70	330	600
159	65	333	602
160	70	325	605
161	63	332	605
162	63	331	606
163	63	328	609
164	58	331	611
165	50	339	611
166	57	329	614
167	62	323	615
168	61	323	616
169	67	315	618
170	59	323	618
171	54	327	619
172	45	334	621
173	46	331	623
174	43	332	625
175	61	308	631
176	54	313	633
177	57	306	637
178	57	300	643
179	56	298	646
180	65	288	647
181	65	286	649
182	70	280	650
183	64	283	653
184	69	278	653
185	64	281	655
186	56	287	657
187	45	298	657
188	45	296	659
189	43	298	659
190	49	289	662
191	54	284	662
192	54	283	663
193	54	281	665
194	69	264	667
195	72	259	669
196	68	262	670
197	58	270	672
198	58	265	677
199	62	260	678
200	64	256	680
201	67	252	681
202	69	246	685
203	62	252	686
204	51	262	687
205	58	253	689
206	63	245	692
207	51	256	693
208	59	248	693
209	63	244	693
210	66	238	696
211	57	246	697
212	55	246	699
213	61	239	700
214	59	240	701
215	62	235	703
216	63	232	705
217	62	231	707
218	64	227	709
219	65	225	710
220	61	228	711
221	66	222	712
222	76	212	712
223	75	212	713
224	79	206	715
225	76	207	717
226	70	211	719
227	63	218	719
228	66	213	721
229	62	216	722
230	63	211	726
231	60	212	728
232	58	207	735
233	60	204	736
234	57	207	736
235	62	201	737
236	73	187	740
237	67	193	740
238	58	200	742
239	55	200	745
240	57	197	746
241	61	192	747
242	59	192	749
243	70	179	751
244	72	175	753
245	72	174	754
246	77	168	755
247	75	168	757
248	75	167	758
249	89	153	758
250	82	160	758
251	75	166	759
252	69	170	761
253	61	178	761
254	61	178	761
255	64	175	761
256	63	175	762
257	61	176	763
258	59	177	764
259	52	184	764
260	52	184	764
261	53	183	764
262	49	184	767
263	54	177	769
264	54	176	770
265	61	169	770
266	66	163	771
267	68	161	771
268	65	164	771
269	65	162	773
270	65	162	773
271	61	166	773
272	51	176	773
273	50	174	776
274	45	173	782
275	57	161	782
276	67	151	782
277	68	149	783
278	64	152	784
279	64	151	785
280	62	152	786
281	70	143	787
282	71	142	787
283	70	142	788
284	71	141	788
285	66	145	789
286	74	137	789
287	69	142	789
288	70	141	789
289	75	135	790
290	74	136	790
291	74	135	791
292	72	136	792
293	71	137	792
294	69	138	793
295	63	142	795
296	56	149	795
297	50	153	797
298	50	152	798
299	51	151	798
300	49	152	799
301	44	157	799
302	43	155	802
303	48	150	802
304	52	144	804
305	56	139	805
306	57	136	807
307	65	127	808
308	68	123	809
309	61	129	810
310	59	131	810
311	64	125	811
312	64	125	811
313	70	119	811
314	77	112	811
315	74	115	811
316	58	131	811
317	63	125	812
318	64	124	812
319	62	126	812
320	55	133	812
321	59	129	812
322	59	128	813
323	66	121	813
324	63	123	814
325	68	117	815
326	68	117	815
327	72	113	815
328	75	109	816
329	78	104	818
330	68	114	818
331	67	115	818
332	77	103	820
333	69	110	821
334	69	109	822
335	64	113	823
336	69	107	824
337	66	110	824
338	59	117	824
339	57	119	824
340	53	123	824
341	56	119	825
342	55	120	825
343	61	113	826
344	53	120	827
345	57	114	829
346	60	109	831
347	62	107	831
348	67	101	832
349	69	99	832
350	66	102	832
351	72	95	833
352	68	98	834
353	60	106	834
354	61	105	834
355	60	105	835
356	62	103	835
357	60	104	836
358	56	108	836
359	57	107	836
360	51	111	838
361	51	110	839
362	50	111	839
363	49	112	839
364	44	115	841
365	44	115	841
366	46	112	842
367	42	114	844
368	42	114	844
369	43	113	844
370	46	108	846
371	51	102	847
372	52	99	849
373	56	95	849
374	56	93	851
375	58	90	852
376	56	92	852
377	50	97	853
378	49	98	853
379	47	99	854
380	41	104	855
381	49	95	856
382	46	97	857
383	47	96	857
384	52	91	857
385	57	85	858
386	56	85	859
387	55	85	860
388	56	82	862
389	52	86	862
390	55	82	863
391	60	76	864
392	68	68	864
393	70	64	866
394	64	70	866
395	64	70	866
396	61	73	866
397	61	73	866
398	62	72	866
399	56	76	868
400	59	73	868
401	61	71	868
402	58	73	869
403	54	76	870
404	54	76	870
405	52	78	870
406	48	82	870
407	49	81	870
408	51	78	871
409	54	75	871
410	51	78	871
411	60	69	871
412	63	66	871
413	62	66	872
414	61	67	872
415	55	73	872
416	54	74	872
417	48	80	872
418	56	72	872
419	54	74	872
420	51	77	872
421	49	78	873
422	51	74	875
423	56	68	876
424	54	70	876
425	51	71	878
426	55	67	878
427	51	71	878
428	48	74	878
429	46	76	878
430	48	74	878
431	51	71	878
432	48	74	878
433	56	66	878
434	51	71	878
435	54	68	878
436	60	62	878
437	62	60	878
438	65	57	878
439	64	57	879
440	61	60	879
441	65	56	879
442	57	64	879
443	60	61	879
444	53	66	881
445	51	68	881
446	49	69	882
447	48	69	883
448	49	68	883
449	52	64	884
450	50	66	884
451	49	66	885
452	49	66	885
453	49	66	885
454	53	62	885
455	56	59	885
456	58	56	886
457	60	53	887
458	62	51	887
459	60	53	887
460	53	60	887
461	54	57	889
462	54	56	890
463	51	57	892
464	51	57	892
465	50	57	893
466	53	53	894
467	49	57	894
468	47	58	895
469	52	52	896
470	52	50	898
471	54	48	898
472	53	49	898
473	57	44	899
474	58	43	899
475	60	40	900
476	59	41	900
477	55	45	900
478	58	42	900
479	60	40	900
480	58	42	900
481	57	43	900
482	58	42	900
483	59	41	900
484	56	44	900
485	54	46	900
486	53	47	900
487	55	44	901
488	53	46	901
489	45	54	901
490	41	58	901
491	39	60	901
492	42	57	901
493	39	58	903
494	40	57	903
495	35	62	903
496	33	64	903
497	34	63	903
498	40	56	904
499	37	59	904
500	40	56	904
501	41	54	905
502	44	51	905
503	45	50	905
504	42	53	905
505	42	53	905
506	45	50	905
507	45	50	905
508	50	45	905
509	51	43	906
510	51	43	906
511	54	40	906
512	57	37	906
513	59	35	906
514	58	36	906
515	60	34	906
516	60	34	906
517	59	35	906
518	64	30	906
519	66	28	906
520	68	26	906
521	68	26	906
522	69	25	906
523	70	22	908
524	69	23	908
525	69	23	908
526	68	24	908
527	73	19	908
528	73	19	908
529	71	21	908
530	74	18	908
531	75	17	908
532	76	15	909
533	75	16	909
534	73	18	909
535	77	14	909
536	73	18	909
537	77	14	909
538	75	16	909
539	73	18	909
540	76	15	909
541	76	15	909
542	74	17	909
543	76	15	909
544	77	14	909
545	77	14	909
546	77	14	909
547	77	14	909
548	76	15	909
549	78	13	909
550	77	14	909
551	78	13	909
552	79	12	909
553	78	13	909
554	75	15	910
555	75	15	910
556	77	13	910
557	79	11	910
558	76	14	910
559	78	12	910
560	78	12	910
561	83	7	910
562	82	8	910
563	83	7	910
564	82	8	910
565	81	9	910
566	80	10	910
567	81	9	910
568	80	10	910
569	80	10	910
570	81	9	910
571	79	11	910
572	77	13	910
573	74	15	911
574	74	15	911
575	75	14	911
576	75	14	911
577	78	11	911
578	79	10	911
579	77	12	911
580	76	13	911
581	71	18	911
582	70	19	911
583	68	21	911
584	65	23	912
585	61	26	913
586	63	24	913
587	64	23	913
588	61	26	913
589	64	21	915
590	65	20	915
591	67	18	915
592	67	18	915
593	69	16	915
594	70	15	915
595	69	15	916
596	70	13	917
597	70	13	917
598	70	13	917
599	66	17	917
600	67	16	917
